//CoDeSys Mapping Export V1.2;;;;;
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first ;;;;;
;Сдвиг характеристики@2;;Величина смещения измеренного значения;%ID14;MV210_102
;Наклон характеристики@2;;Коэффициент масштабирования смещенного значения;%ID15;MV210_102
;Верхняя граница@2;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID16;MV210_102
;Нижняя граница@2;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID17;MV210_102
;Постоянная времени фильтра@2;с;;%IW36;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[4];Вход 4 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID19;MV210_102
;Тип датчика@3;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB76;MV210_102
;Полоса фильтра@3;;Полоса пропускания для фильтра нижних частот;%IB77;MV210_102
;Сдвиг характеристики@3;;Величина смещения измеренного значения;%ID20;MV210_102
;Наклон характеристики@3;;Коэффициент масштабирования смещенного значения;%ID21;MV210_102
;Верхняя граница@3;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID22;MV210_102
;Нижняя граница@3;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID23;MV210_102
;Постоянная времени фильтра@3;с;;%IW48;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[5];Вход 5 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID25;MV210_102
;Тип датчика@4;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB100;MV210_102
;Полоса фильтра@4;;Полоса пропускания для фильтра нижних частот;%IB101;MV210_102
;Сдвиг характеристики@4;;Величина смещения измеренного значения;%ID26;MV210_102
;Наклон характеристики@4;;Коэффициент масштабирования смещенного значения;%ID27;MV210_102
;Верхняя граница@4;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID28;MV210_102
;Нижняя граница@4;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID29;MV210_102
;Постоянная времени фильтра@4;с;;%IW60;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[6];Вход 6 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID31;MV210_102
;Тип датчика@5;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB124;MV210_102
;Полоса фильтра@5;;Полоса пропускания для фильтра нижних частот;%IB125;MV210_102
;Сдвиг характеристики@5;;Величина смещения измеренного значения;%ID32;MV210_102
;Наклон характеристики@5;;Коэффициент масштабирования смещенного значения;%ID33;MV210_102
;Верхняя граница@5;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID34;MV210_102
;Нижняя граница@5;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID35;MV210_102
;Постоянная времени фильтра@5;с;;%IW72;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[7];Вход 7 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID37;MV210_102
;Тип датчика@6;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB148;MV210_102
;Полоса фильтра@6;;Полоса пропускания для фильтра нижних частот;%IB149;MV210_102
;Сдвиг характеристики@6;;Величина смещения измеренного значения;%ID38;MV210_102
;Наклон характеристики@6;;Коэффициент масштабирования смещенного значения;%ID39;MV210_102
;Верхняя граница@6;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID40;MV210_102
;Нижняя граница@6;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID41;MV210_102
;Постоянная времени фильтра@6;с;;%IW84;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[8];Вход 8 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID43;MV210_102
;Тип датчика@7;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB172;MV210_102
;Полоса фильтра@7;;Полоса пропускания для фильтра нижних частот;%IB173;MV210_102
;Сдвиг характеристики@7;;Величина смещения измеренного значения;%ID44;MV210_102
;Наклон характеристики@7;;Коэффициент масштабирования смещенного значения;%ID45;MV210_102
;Верхняя граница@7;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID46;MV210_102
;Нижняя граница@7;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID47;MV210_102
;Постоянная времени фильтра@7;с;;%IW96;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[1];Вход 1 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD2;MV210_102
;Тип датчика@8;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB8;MV210_102
;Полоса фильтра@8;;Полоса пропускания для фильтра нижних частот;%QB9;MV210_102
;Сдвиг характеристики@8;;Величина смещения измеренного значения;%QD3;MV210_102
;Наклон характеристики@8;;Коэффициент масштабирования смещенного значения;%QD4;MV210_102
;Верхняя граница@8;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD5;MV210_102
;Нижняя граница@8;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD6;MV210_102
;Постоянная времени фильтра@8;с;;%QW14;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[2];Вход 2 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD8;MV210_102
;Тип датчика@9;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB32;MV210_102
;Полоса фильтра@9;;Полоса пропускания для фильтра нижних частот;%QB33;MV210_102
;Сдвиг характеристики@9;;Величина смещения измеренного значения;%QD9;MV210_102
;Наклон характеристики@9;;Коэффициент масштабирования смещенного значения;%QD10;MV210_102
;Верхняя граница@9;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD11;MV210_102
;Нижняя граница@9;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD12;MV210_102
;Постоянная времени фильтра@9;с;;%QW26;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[3];Вход 3 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD14;MV210_102
;Тип датчика@10;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB56;MV210_102
;Полоса фильтра@10;;Полоса пропускания для фильтра нижних частот;%QB57;MV210_102
;Сдвиг характеристики@10;;Величина смещения измеренного значения;%QD15;MV210_102
;Наклон характеристики@10;;Коэффициент масштабирования смещенного значения;%QD16;MV210_102
;Верхняя граница@10;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD17;MV210_102
;Нижняя граница@10;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD18;MV210_102
;Постоянная времени фильтра@10;с;;%QW38;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[4];Вход 4 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD20;MV210_102
;Тип датчика@11;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB80;MV210_102
;Полоса фильтра@11;;Полоса пропускания для фильтра нижних частот;%QB81;MV210_102
;Сдвиг характеристики@11;;Величина смещения измеренного значения;%QD21;MV210_102
;Наклон характеристики@11;;Коэффициент масштабирования смещенного значения;%QD22;MV210_102
;Верхняя граница@11;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD23;MV210_102
;Нижняя граница@11;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD24;MV210_102
;Постоянная времени фильтра@11;с;;%QW50;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[5];Вход 5 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD26;MV210_102
;Тип датчика@12;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB104;MV210_102
;Полоса фильтра@12;;Полоса пропускания для фильтра нижних частот;%QB105;MV210_102
;Сдвиг характеристики@12;;Величина смещения измеренного значения;%QD27;MV210_102
;Наклон характеристики@12;;Коэффициент масштабирования смещенного значения;%QD28;MV210_102
;Верхняя граница@12;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD29;MV210_102
;Нижняя граница@12;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD30;MV210_102
;Постоянная времени фильтра@12;с;;%QW62;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[6];Вход 6 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD32;MV210_102
;Тип датчика@13;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB128;MV210_102
;Полоса фильтра@13;;Полоса пропускания для фильтра нижних частот;%QB129;MV210_102
;Сдвиг характеристики@13;;Величина смещения измеренного значения;%QD33;MV210_102
;Наклон характеристики@13;;Коэффициент масштабирования смещенного значения;%QD34;MV210_102
;Верхняя граница@13;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD35;MV210_102
;Нижняя граница@13;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD36;MV210_102
;Постоянная времени фильтра@13;с;;%QW74;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[7];Вход 7 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD38;MV210_102
;Тип датчика@14;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB152;MV210_102
;Полоса фильтра@14;;Полоса пропускания для фильтра нижних частот;%QB153;MV210_102
;Сдвиг характеристики@14;;Величина смещения измеренного значения;%QD39;MV210_102
;Наклон характеристики@14;;Коэффициент масштабирования смещенного значения;%QD40;MV210_102
;Верхняя граница@14;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD41;MV210_102
;Нижняя граница@14;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD42;MV210_102
;Постоянная времени фильтра@14;с;;%QW86;MV210_102
Application.GVL_PLC.A01_MV210_102.NewSettings[8];Вход 8 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD44;MV210_102
;Тип датчика@15;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB176;MV210_102
;Полоса фильтра@15;;Полоса пропускания для фильтра нижних частот;%QB177;MV210_102
;Сдвиг характеристики@15;;Величина смещения измеренного значения;%QD45;MV210_102
;Наклон характеристики@15;;Коэффициент масштабирования смещенного значения;%QD46;MV210_102
;Верхняя граница@15;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD47;MV210_102
;Нижняя граница@15;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD48;MV210_102
;Постоянная времени фильтра@15;с;;%QW98;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[1];Вход 1;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID49;MV210_102
;Значение;;;%ID49;MV210_102
;Циклическое время;;;%IW100;MV210_102
;Код статуса;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB202;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[2];Вход 2;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID51;MV210_102
;Значение@1;;;%ID51;MV210_102
;Циклическое время@1;;;%IW104;MV210_102
;Код статуса@1;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB210;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[3];Вход 3;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID53;MV210_102
;Значение@2;;;%ID53;MV210_102
;Циклическое время@2;;;%IW108;MV210_102
;Код статуса@2;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB218;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[4];Вход 4;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID55;MV210_102
;Значение@3;;;%ID55;MV210_102
;Циклическое время@3;;;%IW112;MV210_102
;Код статуса@3;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB226;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[5];Вход 5;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID57;MV210_102
;Значение@4;;;%ID57;MV210_102
;Циклическое время@4;;;%IW116;MV210_102
;Код статуса@4;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB234;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[6];Вход 6;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID59;MV210_102
;Значение@5;;;%ID59;MV210_102
;Циклическое время@5;;;%IW120;MV210_102
;Код статуса@5;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB242;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[7];Вход 7;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID61;MV210_102
;Значение@6;;;%ID61;MV210_102
;Циклическое время@6;;;%IW124;MV210_102
;Код статуса@6;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB250;MV210_102
Application.GVL_PLC.A01_MV210_102.Ch[8];Вход 8;;См. структуру ANALOG_SENSOR_VALUE в библиотеке Mx210 Assistant;%ID63;MV210_102
;Значение@7;;;%ID63;MV210_102
;Циклическое время@7;;;%IW128;MV210_102
;Код статуса@7;;См. перечисление ANALOG_SENSOR_ERRORS в библиотеке Mx210 Assistant;%IB258;MV210_102
;;;Канал для того, чтобы в мастере срабатывал IoDrvWriteOutputs, без этого не сработает опрос по команде \ восстановлению связи;%QX200.0;MV210_102_1
Application.GVL_PLC.A02_MV210_102.Exclude;Исключить модуль из опроса;;FALSE - включен, TRUE - выключен;%QX204.0;MV210_102_1
Application.GVL_PLC.A02_MV210_102.Error;Флаг ошибки;;Признак ошибки опроса модуля;%IX260.0;MV210_102_1
Application.GVL_PLC.A02_MV210_102.WriteSettings;Записать настройки;;По переднему фронту;%QX204.1;MV210_102_1
Application.GVL_PLC.A02_MV210_102.ReadSettings;Прочитать настройки;;По переднему фронту;%QX204.2;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[1];Вход 1 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID66;MV210_102_1
;Тип датчика;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB264;MV210_102_1
;Полоса фильтра;;Полоса пропускания для фильтра нижних частот;%IB265;MV210_102_1
;Сдвиг характеристики;;Величина смещения измеренного значения;%ID67;MV210_102_1
;Наклон характеристики;;Коэффициент масштабирования смещенного значения;%ID68;MV210_102_1
;Верхняя граница;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID69;MV210_102_1
;Нижняя граница;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID70;MV210_102_1
;Постоянная времени фильтра;с;;%IW142;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[2];Вход 2 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID72;MV210_102_1
;Тип датчика@1;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB288;MV210_102_1
;Полоса фильтра@1;;Полоса пропускания для фильтра нижних частот;%IB289;MV210_102_1
;Сдвиг характеристики@1;;Величина смещения измеренного значения;%ID73;MV210_102_1
;Наклон характеристики@1;;Коэффициент масштабирования смещенного значения;%ID74;MV210_102_1
;Верхняя граница@1;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID75;MV210_102_1
;Нижняя граница@1;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID76;MV210_102_1
;Постоянная времени фильтра@1;с;;%IW154;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[3];Вход 3 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID78;MV210_102_1
;Тип датчика@2;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB312;MV210_102_1
;Полоса фильтра@2;;Полоса пропускания для фильтра нижних частот;%IB313;MV210_102_1
;Сдвиг характеристики@2;;Величина смещения измеренного значения;%ID79;MV210_102_1
;Наклон характеристики@2;;Коэффициент масштабирования смещенного значения;%ID80;MV210_102_1
;Верхняя граница@2;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID81;MV210_102_1
;Нижняя граница@2;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID82;MV210_102_1
;Постоянная времени фильтра@2;с;;%IW166;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[4];Вход 4 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID84;MV210_102_1
;Тип датчика@3;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB336;MV210_102_1
;Полоса фильтра@3;;Полоса пропускания для фильтра нижних частот;%IB337;MV210_102_1
;Сдвиг характеристики@3;;Величина смещения измеренного значения;%ID85;MV210_102_1
;Наклон характеристики@3;;Коэффициент масштабирования смещенного значения;%ID86;MV210_102_1
;Верхняя граница@3;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID87;MV210_102_1
;Нижняя граница@3;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID88;MV210_102_1
;Постоянная времени фильтра@3;с;;%IW178;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[5];Вход 5 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID90;MV210_102_1
;Тип датчика@4;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB360;MV210_102_1
;Полоса фильтра@4;;Полоса пропускания для фильтра нижних частот;%IB361;MV210_102_1
;Сдвиг характеристики@4;;Величина смещения измеренного значения;%ID91;MV210_102_1
;Наклон характеристики@4;;Коэффициент масштабирования смещенного значения;%ID92;MV210_102_1
;Верхняя граница@4;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID93;MV210_102_1
;Нижняя граница@4;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID94;MV210_102_1
;Постоянная времени фильтра@4;с;;%IW190;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[6];Вход 6 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID96;MV210_102_1
;Тип датчика@5;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB384;MV210_102_1
;Полоса фильтра@5;;Полоса пропускания для фильтра нижних частот;%IB385;MV210_102_1
;Сдвиг характеристики@5;;Величина смещения измеренного значения;%ID97;MV210_102_1
;Наклон характеристики@5;;Коэффициент масштабирования смещенного значения;%ID98;MV210_102_1
;Верхняя граница@5;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID99;MV210_102_1
;Нижняя граница@5;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID100;MV210_102_1
;Постоянная времени фильтра@5;с;;%IW202;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[7];Вход 7 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID102;MV210_102_1
;Тип датчика@6;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB408;MV210_102_1
;Полоса фильтра@6;;Полоса пропускания для фильтра нижних частот;%IB409;MV210_102_1
;Сдвиг характеристики@6;;Величина смещения измеренного значения;%ID103;MV210_102_1
;Наклон характеристики@6;;Коэффициент масштабирования смещенного значения;%ID104;MV210_102_1
;Верхняя граница@6;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID105;MV210_102_1
;Нижняя граница@6;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID106;MV210_102_1
;Постоянная времени фильтра@6;с;;%IW214;MV210_102_1
Application.GVL_PLC.A02_MV210_102.OldSettings[8];Вход 8 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID108;MV210_102_1
;Тип датчика@7;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB432;MV210_102_1
;Полоса фильтра@7;;Полоса пропускания для фильтра нижних частот;%IB433;MV210_102_1
;Сдвиг характеристики@7;;Величина смещения измеренного значения;%ID109;MV210_102_1
;Наклон характеристики@7;;Коэффициент масштабирования смещенного значения;%ID110;MV210_102_1
;Верхняя граница@7;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID111;MV210_102_1
;Нижняя граница@7;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID112;MV210_102_1
;Постоянная времени фильтра@7;с;;%IW226;MV210_102_1
Application.GVL_PLC.A02_MV210_102.NewSettings[1];Вход 1 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD52;MV210_102_1
;Тип датчика@8;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB208;MV210_102_1
;Полоса фильтра@8;;Полоса пропускания для фильтра нижних частот;%QB209;MV210_102_1
;Сдвиг характеристики@8;;Величина смещения измеренного значения;%QD53;MV210_102_1
;Наклон характеристики@8;;Коэффициент масштабирования смещенного значения;%QD54;MV210_102_1
;Верхняя граница@8;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD55;MV210_102_1
;Нижняя граница@8;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD56;MV210_102_1
;Постоянная времени фильтра@8;с;;%QW114;MV210_102_1
Application.GVL_PLC.A02_MV210_102.NewSettings[2];Вход 2 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD58;MV210_102_1
;Тип датчика@9;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB232;MV210_102_1
;Полоса фильтра@9;;Полоса пропускания для фильтра нижних частот;%QB233;MV210_102_1
;Сдвиг характеристики@9;;Величина смещения измеренного значения;%QD59;MV210_102_1
;Наклон характеристики@9;;Коэффициент масштабирования смещенного значения;%QD60;MV210_102_1
;Верхняя граница@9;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD61;MV210_102_1
;Нижняя граница@9;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD62;MV210_102_1
;Постоянная времени фильтра@9;с;;%QW126;MV210_102_1
Application.GVL_PLC.A02_MV210_102.NewSettings[3];Вход 3 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD64;MV210_102_1
;Тип датчика@10;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB256;MV210_102_1
;Полоса фильтра@10;;Полоса пропускания для фильтра нижних частот;%QB257;MV210_102_1
;Сдвиг характеристики@10;;Величина смещения измеренного значения;%QD65;MV210_102_1
;Наклон характеристики@10;;Коэффициент масштабирования смещенного значения;%QD66;MV210_102_1
;Верхняя граница@10;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD67;MV210_102_1
;Нижняя граница@10;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD68;MV210_102_1
;Постоянная времени фильтра@10;с;;%QW138;MV210_102_1
Application.GVL_PLC.A02_MV210_102.NewSettings[4];Вход 4 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD70;MV210_102_1
;Тип датчика@11;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB280;MV210_102_1
;Полоса фильтра@11;;Полоса пропускания для фильтра нижних частот;%QB281;MV210_102_1
;Сдвиг характеристики@11;;Величина смещения измеренного значения;%QD71;MV210_102_1
;Наклон характеристики@11;;Коэффициент масштабирования смещенного значения;%QD72;MV210_102_1
;Верхняя граница@11;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD73;MV210_102_1
;Нижняя граница@11;ед. изм.;Для унифицированных сигналов тока или напряжения;%QD74;MV210_102_1
;Постоянная времени фильтра@11;с;;%QW150;MV210_102_1
Application.GVL_PLC.A02_MV210_102.NewSettings[5];Вход 5 (запись);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%QD76;MV210_102_1
;Тип датчика@12;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%QB304;MV210_102_1
;Полоса фильтра@12;;Полоса пропускания для фильтра нижних частот;%QB305;MV210_102_1
;Сдвиг характеристики@12;;Величина смещения измеренного значения;%QD77;MV210_102_1
;Наклон характеристики@12;;Коэффициент масштабирования смещенного значения;%QD78;MV210_102_1
